Buy/Sell Threshold 0.0066 within a look ahead day count: 1
Technical Indicators: ['SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'close']
Number of stocks with a positive gain 500
Number of stocks with a negative gain 0
Sum of the Top 100 portfolios: 1666989.8702003155
Sum of the Bottom 100 portfolios: 677697.0637406347
SMCI.csv: {'final_portfolio_value': 66439.39199852772, 'total_trades': 127}
NVDA.csv: {'final_portfolio_value': 42934.0639630182, 'total_trades': 122}
FICO.csv: {'final_portfolio_value': 30020.25991070627, 'total_trades': 106}
ANET.csv: {'final_portfolio_value': 23492.94768038686, 'total_trades': 40}
EQT.csv: {'final_portfolio_value': 22878.16998242823, 'total_trades': 137}
META.csv: {'final_portfolio_value': 22330.95110716355, 'total_trades': 58}
MRO.csv: {'final_portfolio_value': 21747.65640013293, 'total_trades': 96}
CTRA.csv: {'final_portfolio_value': 21204.778750508354, 'total_trades': 122}
COP.csv: {'final_portfolio_value': 20865.34447884679, 'total_trades': 126}
NXPI.csv: {'final_portfolio_value': 20538.1018577074, 'total_trades': 88}
ETN.csv: {'final_portfolio_value': 20139.336347914956, 'total_trades': 116}
AMP.csv: {'final_portfolio_value': 19986.3296017408, 'total_trades': 107}
DECK.csv: {'final_portfolio_value': 19653.423524145925, 'total_trades': 101}
AVGO.csv: {'final_portfolio_value': 19398.906400221887, 'total_trades': 113}
OXY.csv: {'final_portfolio_value': 18952.294228240153, 'total_trades': 118}
CPRT.csv: {'final_portfolio_value': 18869.4639200358, 'total_trades': 104}
SYK.csv: {'final_portfolio_value': 18608.913674257685, 'total_trades': 117}
KKR.csv: {'final_portfolio_value': 18459.452367632013, 'total_trades': 85}
SNPS.csv: {'final_portfolio_value': 18406.382593042064, 'total_trades': 102}
FCX.csv: {'final_portfolio_value': 18160.609754490048, 'total_trades': 131}
PSX.csv: {'final_portfolio_value': 17995.670861402643, 'total_trades': 106}
RF.csv: {'final_portfolio_value': 17949.71716048824, 'total_trades': 96}
GE.csv: {'final_portfolio_value': 17947.142604946195, 'total_trades': 113}
APA.csv: {'final_portfolio_value': 17734.99169430789, 'total_trades': 135}
FSLR.csv: {'final_portfolio_value': 17625.985475596866, 'total_trades': 104}
BLDR.csv: {'final_portfolio_value': 17470.55522848069, 'total_trades': 131}
APH.csv: {'final_portfolio_value': 17035.259615333773, 'total_trades': 95}
VST.csv: {'final_portfolio_value': 17028.628692489157, 'total_trades': 61}
XOM.csv: {'final_portfolio_value': 16943.30201753915, 'total_trades': 132}
CAT.csv: {'final_portfolio_value': 16887.58771309432, 'total_trades': 122}
TDG.csv: {'final_portfolio_value': 16849.77996680683, 'total_trades': 107}
VRTX.csv: {'final_portfolio_value': 16845.383109975974, 'total_trades': 105}
RCL.csv: {'final_portfolio_value': 16596.752521564384, 'total_trades': 98}
AIG.csv: {'final_portfolio_value': 16582.44840500648, 'total_trades': 110}
STZ.csv: {'final_portfolio_value': 16435.499729905212, 'total_trades': 96}
NWSA.csv: {'final_portfolio_value': 16165.932323966324, 'total_trades': 83}
TT.csv: {'final_portfolio_value': 16088.412369087351, 'total_trades': 94}
CRWD.csv: {'final_portfolio_value': 15773.809296409148, 'total_trades': 24}
PWR.csv: {'final_portfolio_value': 15752.065722609885, 'total_trades': 87}
